split,review_id,year,category,language,title,excerpt,rating
train,0.0,2007.0,screen,nb,Rome S02,Toppen innen tv-drama akkurat nå!,1
train,1.0,2007.0,screen,nb,Twin Peaks - definitive gold box edition,Gull for <em>Twin Peaks</em>-fans!,1
train,2.0,2008.0,screen,nb,The Wire (sesong 1-4),"The Wire vil gjøre deg avhengig, men på en god måte.",1
train,3.0,2008.0,screen,nb,Mad Men (sesong 1),"Stilig, underholdende og sofistikert!",1
train,4.0,2009.0,screen,nb,Mad Men (sesong 2),TV-underholdning av høyeste kvalitet!,1
train,5.0,2010.0,screen,nb,Nurse Jackie S01,"- Vanvittig god serie, mener Torfinn!",1
train,7.0,2010.0,screen,nb,Riket,Skandinavias største kultserie. På NRK.,1
train,8.0,2010.0,screen,nb,In Treatment S02,Opplev psykoterapi uten å forlate sofaen.,1
train,9.0,2010.0,screen,nb,Tidenes beste krigsserie,Gjensyn med <em>Generation Kill</em> på NRK3,1
train,10.0,2010.0,screen,nb,Futurama,Intergalaktisk genialitet!,1
train,11.0,2010.0,screen,nb,Dexter SE03,Sjarmerende og sjokkerende på DVD!,1
train,12.0,2010.0,screen,nb,Mad Men S03,Fremdeles fantastisk seriegull!,1
train,15.0,2010.0,screen,nb,Eastbound & Down S01,"Pupper, banning og knusing av ruter.",1
train,16.0,2010.0,screen,nb,The Kill Point SE01,Heftig gisseldrama i åtte deler.,1
train,17.0,2010.0,screen,nb,The Thick Of It,Herlig humor av høy klasse!,1
train,19.0,2010.0,screen,nb,How I Met Your Mother S03,Sitkomens revansj blir bare bedre og bedre!,1
train,24.0,2010.0,screen,nb,Harper's Island S01,Skrekkthriller uten engasjement.,0
train,25.0,2010.0,screen,nb,How I Met Your Mother S04,"Litt sårere, litt voksnere og fortsatt herlig sitkom!",1
train,26.0,2010.0,screen,nb,Californication S03,"Klinings, pulings og marijuana!",1
train,27.0,2010.0,screen,nb,Dexter S04,Intens sesong der alt står på spill!,1
train,29.0,2010.0,screen,nb,The Simpsons S20,En animert tjueåring med æren i behold!,1
train,30.0,2010.0,screen,nb,Fear Itself S01,Serieskrekk som iblant glimter til!,0
train,31.0,2010.0,screen,nb,Battlestar Galactica S04,En verdig og vakker avslutning på sci-fi-eventyret.,1
train,32.0,2010.0,screen,nb,The Pacific,Dystert og uheroisk krigsdrama,1
train,33.0,2010.0,screen,nn,Lost S06,Fansen fekk sitt endelege punktum.,1
train,34.0,2010.0,screen,nn,Greek S01,Kjipare enn ein gresk tragedie.,0
train,35.0,2010.0,screen,nb,Legend of the Seeker S01,Et tamt eventyr som ikke engasjerer.,0
train,37.0,2010.0,screen,nb,Bored to Death S01,Kjedsommelighetens uutholdelige letthet.,1
train,38.0,2010.0,screen,nb,"24, S08","Jack Bauer, det er nok nå.",0
train,39.0,2010.0,screen,nb,Cougar Town S01,Ikke la deg lure: Cougar Town er IKKE morsomt.,0
train,40.0,2010.0,screen,nb,Merlin S2,Et spennende eventyr det er verdt å se!,1
train,43.0,2010.0,screen,nb,Dag S01,Skakkjørte folk på godt norsk forknytt vis.,1
train,44.0,2010.0,screen,nb,Community S01,Topp collegehumor ved sjarmerende Greendale Community College!,1
